Rank,Score,Name,ID,Link,Type,Episodes,Start Date,End Date,Status,Premiered,Broadcast,Studios,Source,Genres,Demographics,Duration,Rating,Popularity,Members,Favorites,Aired start,Aired end
1400,7.68,Xingchen Bian 6th Season,60787,https://myanimelist.net/anime/60787/Xingchen_Bian_6th_Season,ONA,28,Jan 2025,Jul 2025,Finished Airing,N/A,N/A,Foch Film,Novel,"Action, Adventure, Fantasy, Romance",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#14067,"1,216",4,"Jan 30, 2025","Jul 17, 2025"
1401,7.68,Yao Shen Ji 8th Season,58744,https://myanimelist.net/anime/58744/Yao_Shen_Ji_8th_Season,ONA,52,Apr 2024,Jul 2024,Finished Airing,N/A,N/A,Ruo Hong Culture,Novel,"Action, Adventure, Comedy, Fantasy, Romance",N/A,8 min. per ep.,PG-13 - Teens 13 or older,#12482,"1,918",7,"Apr 30, 2024","Jul 20, 2024"
1402,7.68,Ai no Utagoe wo Kikasete,42847,https://myanimelist.net/anime/42847/Ai_no_Utagoe_wo_Kikasete,Movie,1,Oct 2021,Oct 2021,Finished Airing,N/A,N/A,J.C.Staff,Original,"Drama, Sci-Fi",N/A,1 hr. 48 min.,PG-13 - Teens 13 or older,#2053,"119,722",755,N/A,N/A
1403,7.68,Ani ni Tsukeru Kusuri wa Nai! 3,39959,https://myanimelist.net/anime/39959/Ani_ni_Tsukeru_Kusuri_wa_Nai_3,TV,12,Oct 2019,Dec 2019,Finished Airing,Fall 2019,Mondays at 09:54 (JST),Fanworks,Web manga,Comedy,N/A,3 min. per ep.,PG-13 - Teens 13 or older,#3830,"42,184",50,"Oct 7, 2019","Dec 23, 2019"
1404,7.68,Aria the Animation,477,https://myanimelist.net/anime/477/Aria_the_Animation,TV,13,Oct 2005,Dec 2005,Finished Airing,Fall 2005,Thursdays at 01:30 (JST),HAL Film Maker,Manga,"Sci-Fi, Slice of Life",Shounen,24 min. per ep.,G - All Ages,#1533,"173,778","2,347","Oct 6, 2005","Dec 29, 2005"
1405,7.68,Bai Yao Pu 3rd Season,50537,https://myanimelist.net/anime/50537/Bai_Yao_Pu_3rd_Season,ONA,12,Jul 2022,Oct 2022,Finished Airing,N/A,N/A,CMC Media,Novel,"Adventure, Mystery, Supernatural",N/A,25 min. per ep.,PG-13 - Teens 13 or older,#9826,"4,194",16,"Jul 25, 2022","Oct 3, 2022"
1406,7.68,BanG Dream! Film Live,39619,https://myanimelist.net/anime/39619/BanG_Dream_Film_Live,Movie,1,Sep 2019,Sep 2019,Finished Airing,N/A,N/A,SANZIGEN,Mixed media,N/A,N/A,1 hr. 12 min.,PG-13 - Teens 13 or older,#6019,"14,559",46,N/A,N/A
1407,7.68,D.Gray-man Hallow,32370,https://myanimelist.net/anime/32370/DGray-man_Hallow,TV,13,Jul 2016,Sep 2016,Finished Airing,Summer 2016,Tuesdays at 01:35 (JST),TMS Entertainment,Manga,"Action, Adventure, Fantasy",Shounen,24 min. per ep.,R - 17+ (violence &amp; profanity),#1363,"197,689","1,084","Jul 5, 2016","Sep 27, 2016"
1408,7.68,Doupo Cangqiong: Yuanqi,51038,https://myanimelist.net/anime/51038/Doupo_Cangqiong__Yuanqi,ONA,3,Jul 2022,Jul 2022,Finished Airing,N/A,N/A,Motion Magic,Novel,"Action, Adventure, Fantasy, Romance",N/A,29 min. per ep.,PG-13 - Teens 13 or older,#9906,"4,087",40,"Jul 17, 2022","Jul 24, 2022"
1409,7.68,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",28907,https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri,TV,12,Jul 2015,Sep 2015,Finished Airing,Summer 2015,Saturdays at 00:30 (JST),A-1 Pictures,Light novel,"Action, Adventure, Fantasy",N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#235,"866,214","6,575","Jul 4, 2015","Sep 19, 2015"
1410,7.68,Gokinjo Monogatari,852,https://myanimelist.net/anime/852/Gokinjo_Monogatari,TV,50,Sep 1995,Sep 1996,Finished Airing,Fall 1995,Sundays at 08:30 (JST),Toei Animation,Manga,"Comedy, Drama, Romance",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,#4465,"30,546",435,"Sep 10, 1995","Sep 1, 1996"
1411,7.68,Hanasakeru Seishounen,5835,https://myanimelist.net/anime/5835/Hanasakeru_Seishounen,TV,39,Apr 2009,Feb 2010,Finished Airing,Spring 2009,Sundays at 23:01 (JST),Studio Pierrot,Manga,"Drama, Romance",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,#2826,"72,486",614,"Apr 5, 2009","Feb 14, 2010"
1412,7.68,Hourou Musuko,8426,https://myanimelist.net/anime/8426/Hourou_Musuko,TV,11,Jan 2011,Apr 2011,Finished Airing,Winter 2011,Fridays at 01:15 (JST),AIC Classic,Manga,"Drama, Romance",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,#1869,"135,831","1,100","Jan 14, 2011","Apr 1, 2011"
1413,7.68,Koutetsujou no Kabaneri Movie 3: Unato Kessen,34544,https://myanimelist.net/anime/34544/Koutetsujou_no_Kabaneri_Movie_3__Unato_Kessen,Movie,1,May 2019,May 2019,Finished Airing,N/A,N/A,Wit Studio,Original,"Action, Fantasy, Horror, Suspense",N/A,1 hr. 7 min.,R - 17+ (violence &amp; profanity),#1752,"146,310",272,N/A,N/A
1414,7.68,Little Busters! EX,20517,https://myanimelist.net/anime/20517/Little_Busters_EX,Special,8,Jan 2014,Jul 2014,Finished Airing,N/A,N/A,J.C.Staff,Visual novel,"Comedy, Drama, Romance, Supernatural",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#3182,"58,282",157,"Jan 29, 2014","Jul 30, 2014"
1415,7.68,Meitantei Conan Movie 21: Karakurenai no Love Letter,34430,https://myanimelist.net/anime/34430/Meitantei_Conan_Movie_21__Karakurenai_no_Love_Letter,Movie,1,Apr 2017,Apr 2017,Finished Airing,N/A,N/A,TMS Entertainment,Manga,"Action, Drama, Mystery, Romance",N/A,1 hr. 51 min.,PG-13 - Teens 13 or older,#4179,"35,204",42,N/A,N/A
1416,7.68,Nezha Zhi Mo Tong Jiang Shi,40111,https://myanimelist.net/anime/40111/Nezha_Zhi_Mo_Tong_Jiang_Shi,Movie,1,Jul 2019,Jul 2019,Finished Airing,N/A,N/A,October Media,Other,"Action, Comedy, Drama, Fantasy",N/A,1 hr. 50 min.,PG-13 - Teens 13 or older,#5418,"19,291",75,N/A,N/A
1417,7.68,Nurarihyon no Mago OVA,15959,https://myanimelist.net/anime/15959/Nurarihyon_no_Mago_OVA,OVA,2,Dec 2012,Mar 2013,Finished Airing,N/A,N/A,Studio Deen,Manga,"Action, Supernatural",Shounen,23 min. per ep.,R+ - Mild Nudity,#4755,"26,535",22,"Dec 4, 2012","Mar 4, 2013"
1418,7.68,Princess Sara,2547,https://myanimelist.net/anime/2547/Princess_Sara,TV,46,Jan 1985,Dec 1985,Finished Airing,Winter 1985,Sundays at 19:30 (JST),Nippon Animation,Novel,Drama,N/A,25 min. per ep.,G - All Ages,#4981,"23,658",147,"Jan 6, 1985","Dec 29, 1985"
1419,7.67,InuYasha Movie 2: Kagami no Naka no Mugenjou,450,https://myanimelist.net/anime/450/InuYasha_Movie_2__Kagami_no_Naka_no_Mugenjou,Movie,1,Dec 2002,Dec 2002,Finished Airing,N/A,N/A,Sunrise,Manga,"Action, Adventure, Fantasy, Romance",Shounen,1 hr. 39 min.,PG-13 - Teens 13 or older,#2170,"110,246",266,N/A,N/A
1420,7.67,Junjou Romantica 2,4814,https://myanimelist.net/anime/4814/Junjou_Romantica_2,TV,12,Oct 2008,Dec 2008,Finished Airing,Fall 2008,Sundays at 01:00 (JST),Studio Deen,Manga,"Boys Love, Comedy, Drama",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#1433,"186,801",966,"Oct 12, 2008","Dec 28, 2008"
1421,7.67,Junjou Romantica OVA,13767,https://myanimelist.net/anime/13767/Junjou_Romantica_OVA,OVA,2,Dec 2012,Dec 2015,Finished Airing,N/A,N/A,Studio Deen,Manga,"Boys Love, Comedy, Drama",N/A,22 min. per ep.,PG-13 - Teens 13 or older,#3177,"58,336",81,"Dec 20, 2012","Dec 1, 2015"
1422,7.67,Karakai Jouzu no Takagi-san,35860,https://myanimelist.net/anime/35860/Karakai_Jouzu_no_Takagi-san,TV,12,Jan 2018,Mar 2018,Finished Airing,Winter 2018,Mondays at 23:00 (JST),Shin-Ei Animation,Manga,"Comedy, Romance",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#385,"627,426","5,387","Jan 8, 2018","Mar 26, 2018"
1423,7.67,Kengan Ashura Part 2,40269,https://myanimelist.net/anime/40269/Kengan_Ashura_Part_2,ONA,12,Oct 2019,Oct 2019,Finished Airing,N/A,N/A,Larx Entertainment,Web manga,Action,N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#2076,"117,833",402,N/A,N/A
1424,7.67,Kill la Kill Specials,21659,https://myanimelist.net/anime/21659/Kill_la_Kill_Specials,Special,2,Sep 2014,Sep 2014,Finished Airing,N/A,N/A,Trigger,Original,"Action, Comedy, Fantasy, Ecchi",N/A,18 min. per ep.,R - 17+ (violence &amp; profanity),#1286,"209,172",307,N/A,N/A
1425,7.67,Kindaichi Shounen no Jikenbo Returns 2nd Season,31227,https://myanimelist.net/anime/31227/Kindaichi_Shounen_no_Jikenbo_Returns_2nd_Season,TV,22,Oct 2015,Mar 2016,Finished Airing,Fall 2015,Saturdays at 17:30 (JST),Toei Animation,Manga,Mystery,Shounen,24 min. per ep.,R - 17+ (violence &amp; profanity),#6291,"13,045",33,"Oct 3, 2015","Mar 26, 2016"
1426,7.67,Love Live! Superstar!! 2nd Season,50203,https://myanimelist.net/anime/50203/Love_Live_Superstar_2nd_Season,TV,12,Jul 2022,Oct 2022,Finished Airing,Summer 2022,Sundays at 19:00 (JST),Sunrise,Other,Slice of Life,N/A,23 min. per ep.,PG-13 - Teens 13 or older,#4044,"37,762",313,"Jul 17, 2022","Oct 9, 2022"
1427,7.67,Macross F: Close Encounter - Deculture Edition,4454,https://myanimelist.net/anime/4454/Macross_F__Close_Encounter_-_Deculture_Edition,Special,1,Dec 2007,Dec 2007,Finished Airing,N/A,N/A,Satelight,Original,Sci-Fi,N/A,27 min.,PG-13 - Teens 13 or older,#6232,"13,344",5,N/A,N/A
1428,7.67,"Mikadono Sanshimai wa Angai, Choroi.",59207,https://myanimelist.net/anime/59207/Mikadono_Sanshimai_wa_Angai_Choroi,TV,12,Jul 2025,Sep 2025,Finished Airing,Summer 2025,Thursdays at 00:30 (JST),P.A. Works,Manga,"Comedy, Romance",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#2658,"80,155",324,"Jul 10, 2025","Sep 25, 2025"
1429,7.67,Pokemon Movie 01: Mewtwo no Gyakushuu,528,https://myanimelist.net/anime/528/Pokemon_Movie_01__Mewtwo_no_Gyakushuu,Movie,1,Jul 1998,Jul 1998,Finished Airing,N/A,N/A,OLM,Game,"Action, Adventure, Award Winning, Comedy, Fantasy",Kids,1 hr. 25 min.,PG - Children,#962,"279,918",463,N/A,N/A
1430,7.67,Princess Principal,35240,https://myanimelist.net/anime/35240/Princess_Principal,TV,12,Jul 2017,Sep 2017,Finished Airing,Summer 2017,Sundays at 23:00 (JST),"Actas, Studio 3Hz",Original,"Action, Mystery",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#1217,"221,872","2,486","Jul 9, 2017","Sep 24, 2017"
1431,7.67,Saint Seiya: Meiou Hades Juuni Kyuu-hen - Yomigaerishi Gold Saint-tachi no Shinwa,6154,https://myanimelist.net/anime/6154/Saint_Seiya__Meiou_Hades_Juuni_Kyuu-hen_-_Yomigaerishi_Gold_Saint-tachi_no_Shinwa,Special,2,,,Finished Airing,N/A,N/A,Toei Animation,Manga,"Adventure, Sci-Fi",Shounen,54 min. per ep.,PG-13 - Teens 13 or older,#6814,"10,770",17,N/A,N/A
1432,7.67,Seitokai Yakuindomo*,20847,https://myanimelist.net/anime/20847/Seitokai_Yakuindomo,TV,13,Jan 2014,Mar 2014,Finished Airing,Winter 2014,Saturdays at 20:30 (JST),GoHands,4-koma manga,Comedy,Shounen,23 min. per ep.,R - 17+ (violence &amp; profanity),#1007,"268,970",619,"Jan 4, 2014","Mar 30, 2014"
1433,7.67,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,33502,https://myanimelist.net/anime/33502/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,TV,12,Apr 2017,Jun 2017,Finished Airing,Spring 2017,Tuesdays at 23:30 (JST),"Satelight, C2C",Light novel,"Drama, Fantasy, Romance, Sci-Fi",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#593,"432,541","4,823","Apr 11, 2017","Jun 27, 2017"
1434,7.67,Space Cobra,2451,https://myanimelist.net/anime/2451/Space_Cobra,TV,31,Oct 1982,May 1983,Finished Airing,Fall 1982,Unknown,Tokyo Movie Shinsha,Manga,"Action, Adventure, Sci-Fi",Shounen,24 min. per ep.,R+ - Mild Nudity,#4719,"27,150",295,"Oct 7, 1982","May 19, 1983"
1435,7.67,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu 2nd Season",59095,https://myanimelist.net/anime/59095/Tensei_shitara_Dainana_Ouji_Datta_node_Kimama_ni_Majutsu_wo_Kiwamemasu_2nd_Season,TV,12,Jul 2025,Sep 2025,Finished Airing,Summer 2025,Thursdays at 00:00 (JST),Tsumugi Akita Animation Lab,Light novel,"Adventure, Fantasy",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#2167,"110,880",359,"Jul 10, 2025","Sep 25, 2025"
1436,7.67,Toujima Tanzaburou wa Kamen Rider ni Naritai,61159,https://myanimelist.net/anime/61159/Toujima_Tanzaburou_wa_Kamen_Rider_ni_Naritai,,,Oct 2025,,Currently Airing,Fall 2025,Sundays at 00:30 (JST),LIDENFILMS,Manga,"Action, Comedy",Seinen,23 min.,PG-13 - Teens 13 or older,#4955,"24,079",41,N/A,N/A
1437,7.67,Wu Dong Qian Kun 2nd Season,42266,https://myanimelist.net/anime/42266/Wu_Dong_Qian_Kun_2nd_Season,ONA,12,Jul 2020,Sep 2020,Finished Airing,N/A,N/A,Motion Magic,Novel,"Action, Adventure, Fantasy, Romance",N/A,25 min. per ep.,PG-13 - Teens 13 or older,#8656,"5,976",31,"Jul 12, 2020","Sep 20, 2020"
1438,7.67,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,34284,https://myanimelist.net/anime/34284/Yuuki_Yuuna_wa_Yuusha_de_Aru__Washio_Sumi_no_Shou,TV,6,Oct 2017,Nov 2017,Finished Airing,Fall 2017,Fridays at 01:55 (JST),Studio Gokumi,Light novel,Drama,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#3538,"48,139",196,"Oct 7, 2017","Nov 11, 2017"
1439,7.67,Zhe Tian,51289,https://myanimelist.net/anime/51289/Zhe_Tian,ONA,156,May 2023,,Currently Airing,N/A,N/A,Original Force,Web novel,"Action, Adventure, Sci-Fi",N/A,18 min. per ep.,PG-13 - Teens 13 or older,#10535,"3,349",39,N/A,N/A
1440,7.67,3D Kanojo: Real Girl 2nd Season,37956,https://myanimelist.net/anime/37956/3D_Kanojo__Real_Girl_2nd_Season,TV,12,Jan 2019,Mar 2019,Finished Airing,Winter 2019,Wednesdays at 01:59 (JST),Hoods Entertainment,Manga,Romance,Shoujo,22 min. per ep.,PG-13 - Teens 13 or older,#1311,"204,969","1,228","Jan 9, 2019","Mar 27, 2019"
1441,7.67,BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,51218,https://myanimelist.net/anime/51218/BanG_Dream_5th_Anniversary_Animation__CiRCLE_Thanks_Party,ONA,2,Mar 2022,Mar 2022,Finished Airing,N/A,N/A,SANZIGEN,Mixed media,N/A,N/A,23 min. per ep.,PG-13 - Teens 13 or older,#9117,"5,233",23,"Mar 10, 2022","Mar 17, 2022"
1442,7.67,Boku no Kokoro no Yabai Yatsu: Twi-Yaba,56948,https://myanimelist.net/anime/56948/Boku_no_Kokoro_no_Yabai_Yatsu__Twi-Yaba,ONA,1,Dec 2023,Dec 2023,Finished Airing,N/A,N/A,Shin-Ei Animation,Web manga,"Comedy, Romance",Shounen,21 min.,PG-13 - Teens 13 or older,#4238,"34,242",68,N/A,N/A
1443,7.67,Break Blade Movie 6: Doukoku no Toride,10092,https://myanimelist.net/anime/10092/Break_Blade_Movie_6__Doukoku_no_Toride,Movie,1,Mar 2011,Mar 2011,Finished Airing,N/A,N/A,"Production I.G, Xebec",Manga,Fantasy,Shounen,52 min.,R - 17+ (violence &amp; profanity),#3229,"56,614",24,N/A,N/A
1444,7.67,Chi&#039;s Sweet Home,3841,https://myanimelist.net/anime/3841/Chis_Sweet_Home,TV,104,Mar 2008,Sep 2008,Finished Airing,Spring 2008,Not scheduled once per week,Madhouse,Manga,Slice of Life,Seinen,3 min. per ep.,G - All Ages,#2939,"67,909",464,"Mar 31, 2008","Sep 25, 2008"
1445,7.67,Hakuouki Movie 2: Shikon Soukyuu,13119,https://myanimelist.net/anime/13119/Hakuouki_Movie_2__Shikon_Soukyuu,Movie,1,Mar 2014,Mar 2014,Finished Airing,N/A,N/A,Studio Deen,Visual novel,"Action, Drama, Supernatural",Josei,1 hr. 27 min.,PG-13 - Teens 13 or older,#4940,"24,278",70,N/A,N/A
1446,7.67,Ichigo Mashimaro Encore,4811,https://myanimelist.net/anime/4811/Ichigo_Mashimaro_Encore,OVA,2,Jan 2009,Mar 2009,Finished Airing,N/A,N/A,Daume,4-koma manga,Slice of Life,N/A,27 min. per ep.,PG-13 - Teens 13 or older,#4768,"26,301",19,"Jan 23, 2009","Mar 25, 2009"
1447,7.66,ACCA: 13-ku Kansatsu-ka,33337,https://myanimelist.net/anime/33337/ACCA__13-ku_Kansatsu-ka,TV,12,Jan 2017,Mar 2017,Finished Airing,Winter 2017,Tuesdays at 23:00 (JST),Madhouse,Manga,"Drama, Mystery",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,#1517,"175,343","1,635","Jan 10, 2017","Mar 28, 2017"
1448,7.66,Baka to Test to Shoukanjuu Ni!,8516,https://myanimelist.net/anime/8516/Baka_to_Test_to_Shoukanjuu_Ni,TV,13,Jul 2011,Sep 2011,Finished Airing,Summer 2011,Fridays at Unknown,SILVER LINK.,Light novel,"Comedy, Romance",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#687,"382,123","1,213","Jul 8, 2011","Sep 30, 2011"
1449,7.66,Binbougami ga!,13535,https://myanimelist.net/anime/13535/Binbougami_ga,TV,13,Jul 2012,Sep 2012,Finished Airing,Summer 2012,Thursdays at 01:50 (JST),Sunrise,Manga,"Comedy, Supernatural",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#1097,"245,863","1,253","Jul 5, 2012","Sep 27, 2012"
1450,7.66,Bungou Stray Dogs: Hitori Ayumu,33071,https://myanimelist.net/anime/33071/Bungou_Stray_Dogs__Hitori_Ayumu,OVA,1,Aug 2017,Aug 2017,Finished Airing,N/A,N/A,Bones,Manga,"Action, Mystery",Seinen,23 min.,PG-13 - Teens 13 or older,#1445,"184,289",368,N/A,N/A
1451,7.66,Cardcaptor Sakura: Clear Card-hen,33354,https://myanimelist.net/anime/33354/Cardcaptor_Sakura__Clear_Card-hen,TV,22,Jan 2018,Jun 2018,Finished Airing,Winter 2018,Sundays at 07:30 (JST),Madhouse,Manga,"Adventure, Comedy, Romance",Shoujo,25 min. per ep.,PG - Children,#1914,"131,625",714,"Jan 7, 2018","Jun 10, 2018"
1452,7.66,Doraemon Movie 07: Nobita to Tetsujin Heidan,2665,https://myanimelist.net/anime/2665/Doraemon_Movie_07__Nobita_to_Tetsujin_Heidan,Movie,1,Mar 1986,Mar 1986,Finished Airing,N/A,N/A,Shin-Ei Animation,Manga,"Adventure, Comedy, Fantasy",N/A,1 hr. 37 min.,PG - Children,#6921,"10,413",24,N/A,N/A
1453,7.66,Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,2673,https://myanimelist.net/anime/2673/Doraemon_Movie_27__Nobita_no_Shin_Makai_Daibouken_-_7-nin_no_Mahoutsukai,Movie,1,Mar 2007,Mar 2007,Finished Airing,N/A,N/A,Shin-Ei Animation,Unknown,"Adventure, Comedy, Fantasy",N/A,1 hr. 52 min.,PG - Children,#6431,"12,410",13,N/A,N/A
1454,7.66,Evangelion Movie 3: Q,3785,https://myanimelist.net/anime/3785/Evangelion_Movie_3__Q,Movie,1,Nov 2012,Nov 2012,Finished Airing,N/A,N/A,Khara,Original,"Award Winning, Drama, Sci-Fi, Suspense",N/A,1 hr. 35 min.,PG-13 - Teens 13 or older,#521,"478,810","2,193",N/A,N/A
1455,7.66,Fairy Tail (2014),22043,https://myanimelist.net/anime/22043/Fairy_Tail_2014,TV,102,Apr 2014,Mar 2016,Finished Airing,Spring 2014,Saturdays at 10:30 (JST),"A-1 Pictures, Bridge",Manga,"Action, Adventure, Fantasy",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#167,"1,057,671","12,632","Apr 5, 2014","Mar 26, 2016"
1456,7.66,Fanren Xiu Xian Chuan: Chongzhi Ban,54444,https://myanimelist.net/anime/54444/Fanren_Xiu_Xian_Chuan__Chongzhi_Ban,ONA,21,Feb 2023,Jun 2023,Finished Airing,N/A,N/A,"Original Force, Wonder Cat Animation",Novel,"Action, Adventure, Fantasy",N/A,18 min. per ep.,PG-13 - Teens 13 or older,#13534,"1,394",5,"Feb 5, 2023","Jun 18, 2023"
1457,7.66,Hai to Gensou no Grimgar,31859,https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar,TV,12,Jan 2016,Mar 2016,Finished Airing,Winter 2016,Mondays at 00:30 (JST),A-1 Pictures,Light novel,"Action, Adventure, Drama, Fantasy",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#279,"789,168","6,733","Jan 11, 2016","Mar 28, 2016"
1458,7.66,Ichigo Mashimaro OVA,1888,https://myanimelist.net/anime/1888/Ichigo_Mashimaro_OVA,OVA,3,Feb 2007,Apr 2007,Finished Airing,N/A,N/A,Daume,4-koma manga,Slice of Life,N/A,25 min. per ep.,PG-13 - Teens 13 or older,#4517,"29,916",23,"Feb 23, 2007","Apr 25, 2007"
1459,7.66,Rilakkuma to Kaoru-san,35777,https://myanimelist.net/anime/35777/Rilakkuma_to_Kaoru-san,ONA,13,Apr 2019,Apr 2019,Finished Airing,N/A,N/A,dwarf,Other,Slice of Life,Kids,11 min. per ep.,PG - Children,#5650,"17,320",185,N/A,N/A
1460,7.66,Shin Kidou Senki Gundam Wing,90,https://myanimelist.net/anime/90/Shin_Kidou_Senki_Gundam_Wing,TV,49,Apr 1995,Mar 1996,Finished Airing,Spring 1995,Fridays at 17:00 (JST),Sunrise,Original,"Drama, Sci-Fi",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#1575,"168,705","2,440","Apr 7, 1995","Mar 29, 1996"
1461,7.66,Shingeki no Kyojin Season 3 Specials,39477,https://myanimelist.net/anime/39477/Shingeki_no_Kyojin_Season_3_Specials,Special,7,Oct 2018,Sep 2019,Finished Airing,N/A,N/A,Studio Moriken,Manga,Comedy,Shounen,2 min. per ep.,G - All Ages,#3832,"42,172",82,"Oct 17, 2018","Sep 18, 2019"
1462,7.66,Shixiong A Shixiong 2nd Season,57442,https://myanimelist.net/anime/57442/Shixiong_A_Shixiong_2nd_Season,ONA,26,Dec 2023,May 2024,Finished Airing,N/A,N/A,Sparkly Key Animation Studio,Web novel,"Action, Adventure, Fantasy",N/A,21 min. per ep.,PG-13 - Teens 13 or older,#12436,"1,945",8,"Dec 14, 2023","May 30, 2024"
1463,7.66,Shoujo☆Kageki Revue Starlight,35503,https://myanimelist.net/anime/35503/Shoujo☆Kageki_Revue_Starlight,TV,12,Jul 2018,Sep 2018,Finished Airing,Summer 2018,Fridays at 01:28 (JST),Kinema Citrus,Original,Drama,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#2390,"95,291","1,600","Jul 13, 2018","Sep 28, 2018"
1464,7.66,Initial D Battle Stage 2,3931,https://myanimelist.net/anime/3931/Initial_D_Battle_Stage_2,OVA,1,May 2007,May 2007,Finished Airing,N/A,N/A,A.C.G.T.,Manga,"Action, Drama",Seinen,1 hr. 20 min.,PG-13 - Teens 13 or older,#4244,"34,130",45,N/A,N/A
1465,7.66,Kami nomi zo Shiru Sekai: Tenri-hen,15117,https://myanimelist.net/anime/15117/Kami_nomi_zo_Shiru_Sekai__Tenri-hen,OVA,2,Oct 2012,Dec 2012,Finished Airing,N/A,N/A,Manglobe,Manga,"Comedy, Romance, Supernatural",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#1789,"142,367",106,"Oct 18, 2012","Dec 18, 2012"
1466,7.66,Kanojo to Kanojo no Neko: Everything Flows,32491,https://myanimelist.net/anime/32491/Kanojo_to_Kanojo_no_Neko__Everything_Flows,TV,4,Mar 2016,Mar 2016,Finished Airing,Winter 2016,Fridays at 23:17 (JST),LIDENFILMS,Original,Slice of Life,N/A,7 min. per ep.,G - All Ages,#1774,"143,817",720,"Mar 4, 2016","Mar 25, 2016"
1467,7.66,Kidou Senshi Gundam: GQuuuuuuX - Beginning,61295,https://myanimelist.net/anime/61295/Kidou_Senshi_Gundam__GQuuuuuuX_-_Beginning,Movie,1,Jan 2025,Jan 2025,Finished Airing,N/A,N/A,"Sunrise, Khara",Original,Sci-Fi,N/A,1 hr. 21 min.,PG-13 - Teens 13 or older,#7432,"8,750",18,N/A,N/A
1468,7.66,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,2175,https://myanimelist.net/anime/2175/Kino_no_Tabi__The_Beautiful_World_-_Byouki_no_Kuni_-_For_You,Movie,1,Apr 2007,Apr 2007,Finished Airing,N/A,N/A,Shaft,Light novel,"Adventure, Drama, Fantasy",N/A,28 min.,R - 17+ (violence &amp; profanity),#3344,"53,344",33,N/A,N/A
1469,7.66,Kuroko no Basket 3rd Season NG-shuu,30311,https://myanimelist.net/anime/30311/Kuroko_no_Basket_3rd_Season_NG-shuu,Special,9,Apr 2015,Dec 2015,Finished Airing,N/A,N/A,Production I.G,Manga,"Comedy, Sports",N/A,2 min. per ep.,PG-13 - Teens 13 or older,#3536,"48,199",84,"Apr 24, 2015","Dec 24, 2015"
1470,7.66,Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,48916,https://myanimelist.net/anime/48916/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai_2nd_Season,TV,13,Apr 2022,Jun 2022,Finished Airing,Spring 2022,Saturdays at 22:00 (JST),Sunrise,Other,Slice of Life,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#3777,"43,186",446,"Apr 2, 2022","Jun 25, 2022"
1471,7.66,Luo Xiaohei Zhanji: Zhongsheng Zhi Men,48791,https://myanimelist.net/anime/48791/Luo_Xiaohei_Zhanji__Zhongsheng_Zhi_Men,ONA,12,Apr 2021,Jul 2021,Finished Airing,N/A,N/A,HMCH,Original,"Comedy, Supernatural",N/A,8 min. per ep.,PG-13 - Teens 13 or older,#12258,"2,060",8,"Apr 24, 2021","Jul 17, 2021"
1472,7.66,Mahouka Koukou no Rettousei: Tsuioku-hen,48375,https://myanimelist.net/anime/48375/Mahouka_Koukou_no_Rettousei__Tsuioku-hen,Special,1,Dec 2021,Dec 2021,Finished Airing,N/A,N/A,8bit,Light novel,"Action, Fantasy, Sci-Fi",N/A,1 hr. 11 min.,PG-13 - Teens 13 or older,#2368,"96,610",340,N/A,N/A
